"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.721453975E2,6.223925087E1,2.571776128E1,1.083977097E2,1.500000000E0,2.700000000E1,3.790092468E0,2.500000000E0
1.731444363E2,6.223926394E1,2.571777455E1,1.085645276E2,1.549999952E0,2.770000076E1,3.790092468E0,2.500000000E0
1.741452942E2,6.223927629E1,2.571779611E1,1.089319683E2,1.590000033E0,4.579999924E1,3.790092468E0,2.500000000E0
1.751444435E2,6.223928796E1,2.571781744E1,1.092820135E2,1.519999981E0,4.529999924E1,3.790092468E0,2.500000000E0
1.761446284E2,6.223929729E1,2.571784066E1,1.094885637E2,1.389999986E0,4.809999847E1,3.790092468E0,2.500000000E0
1.771444335E2,6.223930628E1,2.571786207E1,1.095112147E2,1.289999962E0,5.409999847E1,3.790092468E0,2.500000000E0
1.781452077E2,6.223931624E1,2.571788620E1,1.098873211E2,1.570000052E0,4.909999847E1,3.790092468E0,2.500000000E0
1.791449249E2,6.223932710E1,2.571791123E1,1.102387088E2,1.490000010E0,4.820000076E1,3.790092468E0,2.500000000E0
1.801449169E2,6.223933926E1,2.571793580E1,1.104165133E2,1.580000043E0,4.259999847E1,3.790092468E0,2.500000000E0
1.811444459E2,6.223935154E1,2.571795630E1,1.102330505E2,1.559999943E0,3.809999847E1,3.790092468E0,2.500000000E0
1.821448160E2,6.223936285E1,2.571797804E1,1.101227073E2,1.600000024E0,4.220000076E1,3.790092468E0,2.500000000E0
1.831446591E2,6.223937334E1,2.571799771E1,1.101859475E2,1.460000038E0,4.150000000E1,3.790092468E0,2.500000000E0
1.841452441E2,6.223938432E1,2.571801989E1,1.103736388E2,1.600000024E0,4.490000153E1,3.790092468E0,2.500000000E0
1.851449074E2,6.223939620E1,2.571803994E1,1.105028588E2,1.559999943E0,3.859999847E1,3.790092468E0,2.500000000E0
1.861444440E2,6.223940806E1,2.571806040E1,1.104317615E2,1.559999943E0,4.320000076E1,3.790092468E0,2.500000000E0
1.871452643E2,6.223941844E1,2.571808175E1,1.102500676E2,1.610000014E0,4.370000076E1,3.790092468E0,2.500000000E0
1.881450201E2,6.223942960E1,2.571810268E1,1.105766750E2,1.590000033E0,4.359999847E1,3.790092468E0,2.500000000E0
1.891447806E2,6.223944007E1,2.571812264E1,1.106501690E2,1.620000005E0,4.400000000E1,3.790092468E0,2.500000000E0
1.901446452E2,6.223944915E1,2.571814561E1,1.105049735E2,1.600000024E0,4.640000153E1,3.790092468E0,2.500000000E0
1.911444368E2,6.223945964E1,2.571816864E1,1.107782969E2,1.629999995E0,4.409999847E1,3.790092468E0,2.500000000E0
1.921448121E2,6.223947101E1,2.571819024E1,1.108882296E2,1.639999986E0,4.400000000E1,3.790092468E0,2.500000000E0
1.931452020E2,6.223948160E1,2.571821096E1,1.110126271E2,1.620000005E0,4.609999847E1,3.790092468E0,2.500000000E0
1.941452786E2,6.223949384E1,2.571822892E1,1.109083267E2,1.590000033E0,4.279999924E1,3.790092468E0,2.500000000E0
1.951444784E2,6.223950533E1,2.571824836E1,1.108342384E2,1.570000052E0,4.559999847E1,3.790092468E0,2.500000000E0
1.961451619E2,6.223951681E1,2.571826619E1,1.110781431E2,1.600000024E0,4.279999924E1,3.790092468E0,2.500000000E0
1.971451904E2,6.223952824E1,2.571828642E1,1.110824239E2,1.590000033E0,4.359999847E1,3.790092468E0,2.500000000E0
1.981451298E2,6.223953888E1,2.571830331E1,1.110843236E2,1.519999981E0,4.190000153E1,3.790092468E0,2.500000000E0
1.991452062E2,6.223954925E1,2.571832217E1,1.105922047E2,1.549999952E0,4.029999924E1,3.790092468E0,2.500000000E0
2.001451212E2,6.223955986E1,2.571834251E1,1.103682136E2,1.590000033E0,3.859999847E1,3.790092468E0,2.500000000E0
2.011451188E2,6.223956948E1,2.571836283E1,1.100369830E2,1.519999981E0,4.129999924E1,3.790092468E0,2.500000000E0
2.021452960E2,6.223957971E1,2.571838050E1,1.098085359E2,1.539999962E0,3.520000076E1,3.790092468E0,2.500000000E0
2.031450570E2,6.223958973E1,2.571840114E1,1.093938705E2,1.570000052E0,4.020000076E1,3.790092468E0,2.500000000E0
2.041455112E2,6.223959948E1,2.571842211E1,1.093357724E2,1.580000043E0,4.270000076E1,3.790092468E0,2.500000000E0
2.051463126E2,6.223960912E1,2.571844203E1,1.093857675E2,1.529999971E0,4.379999924E1,3.790092468E0,2.500000000E0
2.061455522E2,6.223961998E1,2.571846287E1,1.093666715E2,1.570000052E0,4.409999847E1,3.790092468E0,2.500000000E0
2.071464142E2,6.223963259E1,2.571848346E1,1.095170102E2,1.590000033E0,4.009999847E1,3.790092468E0,2.500000000E0
2.081455665E2,6.223964456E1,2.571850671E1,1.095670068E2,1.509999990E0,4.059999847E1,3.790092468E0,2.500000000E0
2.091455810E2,6.223965895E1,2.571852591E1,1.099794925E2,1.509999990E0,3.029999924E1,3.790092468E0,2.500000000E0
2.101455644E2,6.223967242E1,2.571854585E1,1.103375343E2,1.500000000E0,3.340000153E1,3.790092468E0,2.500000000E0
2.111463698E2,6.223968442E1,2.571856501E1,1.102323183E2,1.519999981E0,3.929999924E1,3.790092468E0,2.500000000E0
2.121457954E2,6.223969865E1,2.571857846E1,1.101370520E2,1.519999981E0,3.500000000E1,3.790092468E0,2.500000000E0
2.131456563E2,6.223971507E1,2.571858306E1,1.104036639E2,1.519999981E0,3.170000076E1,3.790092468E0,2.500000000E0
2.141455614E2,6.223972909E1,2.571859323E1,1.103441638E2,1.470000029E0,4.450000000E1,3.790092468E0,2.500000000E0
2.151463669E2,6.223974274E1,2.571860831E1,1.105215413E2,1.509999990E0,5.059999847E1,3.790092468E0,2.500000000E0
2.161460197E2,6.223975760E1,2.571862434E1,1.106179260E2,1.490000010E0,4.750000000E1,3.790092468E0,2.500000000E0
